Frequency (Hz),TR1: Gain (dB)
210572.33889963472,-6.42733507
220152.398692808,-6.60469308
230168.30654712915,-6.78567404
240639.89151758395,-6.95485513
251587.88478872288,-7.12790428
263033.96071735065,-7.30428884
275000.7797424665,-7.48856268
287512.03324741015,-7.67548622
300592.49046301673,-7.84788636
314268.0475046624,-8.01858035
328565.7786402478,-8.19625586
343513.9898906559,-8.37585914
359142.2750687599,-8.54071707
375481.57436796604,-8.72194419
392564.2356162436,-8.89150458
410424.0783169389,-9.0714363
429096.46060314396,-9.22703612
448618.34923817724,-9.40907454
469028.3928007597,-9.56653231
490366.99819977506,-9.73116311
512676.41067009984,-9.89612819
536000.7974078553,-10.07273817
560386.3350107003,-10.23216888
585881.3008962162,-10.39428979
612536.1688794375,-10.55296561
640403.7090986837,-10.71135525
669539.0924875699,-10.87423007
700000.0000000001,-10.99483839
